id,stemmed
34,"['bahlil', 'lahadalia', 'indonesia', 'wajib', 'bensin', 'campur', 'etanol', 'era', 'bbm', 'fosil', 'partaigolkar', 'tahungolkar', 'golkarpedia', 'bahlillahadalia']"
35,"['udah', 'bilang', 'bener', 'direndem', 'pake', 'etanol', 'bocah', 'biar', 'kek', 'bahlil', 'biar', 'kapok']"
36,"['kejar', 'bahlil', 'etanol']"
37,"['naik', 'umur', 'mesin', 'hindar', 'rusa', 'akibat', 'bensin', 'campur', 'etanol', 'pasti', 'kendara', 'kompatibel', 'baca', 'pandu', 'tipsmobil', 'otomotif']"
38,"['kalo', 'gada', 'bahlul', 'aja', 'kasih', 'etanol']"
39,"['kaya', 'cowok', 'pesona', 'etanol', 'setrum']"
40,"['setrum', 'bakar', 'pake', 'etanol']"
41,"['manggilnya', 'kak', 'etanol', 'enak']"
42,"['nama', 'fanbasenya', 'bahenol', 'bahlil', 'etanol']"
43,"['pake', 'etanol', 'bahlul']"
44,"['mega', 'alakazam', 'alami', 'ubah', 'tipe', 'oke', 'sip', 'etanol', 'type', 'tanah', 'meh', 'bren', 'gardevoir', 'pokemonquetzal']"
45,"['bensin', 'etanol', 'skrng', 'listrik', 'naikin', 'moga', 'azab', 'rakyat', 'benci', 'cepet', 'kabulin']"
46,"['embrio', 'kembang', 'kasih', 'asam', 'sulfat', 'janin', 'teriak', 'amteck', 'amteck', 'asheng', 'janin', 'nanem', 'sawit', 'janin', 'bahlil', 'anjing', 'kasih', 'etanol']"
47,"['bacot', 'bahlil', 'mulut', 'sumpel', 'pake', 'etanol']"
48,"['mobil', 'motor', 'aman', 'bbm', 'campur', 'etanol', 'yuk', 'baca', 'pandu', 'lengkap', 'bensinetanol', 'otomotifindonesia']"
49,"['etanol', 'fermentasi', 'gula', 'tanam', 'tebu', 'jagung', 'singkong', 'sawit', 'limbah', 'tandan', 'kosong', 'kelapa', 'sawit', 'tkks', 'kaya', 'selulosa', 'indonesia', 'kembang', 'bioetanol', 'ramah', 'lingkung']"
50,"['otw', 'bahlil', 'mati', 'habis', 'minum', 'etanol', 'kestrum', 'listrik']"
51,"['suruh', 'fokus', 'ngoplos', 'etanol', 'aja', 'noh', 'bahlil']"
52,"['kapten', 'rela', 'cita', 'cinta', 'bahlil', 'etanol']"
53,"['otak', 'isi', 'etanol', 'gin', 'nih', 'ruang', 'non', 'smoking', 'woyyy']"
54,"['pake', 'kyk', 'bunyi', 'etanol', 'kyak', 'ehmmm', 'gitu', 'paham']"
55,"['wisatawan', 'benara', 'manusia', 'etanol']"
56,"['takut', 'allah', 'takut', 'akar', 'serabut', 'bau', 'etanol', 'wkwkw', 'limapuluhhh']"
57,"['bahlil', 'only', 'cried', 'after', 'realize', 'tangki', 'bensin', 'mobil', 'karat', 'gara', 'gara', 'etanol']"
58,"['bahenol', 'bahlil', 'etanol']"
59,"['alih', 'bbm', 'campur', 'etanol', 'paham', 'beda', 'sisi', 'performa', 'efisiensi', 'aman', 'mesin', 'salah', 'pilih', 'baca', 'pandu', 'lengkap', 'bbmotomotif', 'eee', 'tipsbbm', 'otomotif']"
60,"['etanol', 'kaya']"
61,"['bahenol', 'bahlil', 'joget', 'etanol']"
62,"['jelek', 'pls', 'bau', 'etanol', 'bau', 'bahlul']"
63,"['lap', 'udah', 'soak', 'campur', 'etanol']"
64,"['tarot', 'asa', 'isi', 'mncintaimu', 'spt', 'prabrewok', 'cinta', 'sawit', 'bahlulilot', 'cinta', 'etanol', 'biefeff', 'double exclamation markdouble exclamation mark']"
65,"['yah', 'etanol', 'day', 'cream', 'nya']"
66,"['jgn', 'minum', 'etanol']"
67,"['lena', 'kapal', 'angst', 'naura', 'nang', 'word', 'suka', 'ninggalin', 'etanol']"
68,"['tolak', 'emg', 'udah', 'mesin', 'etanol', 'beda', 'mesin', 'bensin']"
69,"['dominan', 'otak', 'dengkul', 'etanol']"
70,"['coba', 'cek', 'etanol', 'aman', 'kendara', 'motor']"
71,"['silah', 'pakai', 'etanol', 'ken', 'cepat', 'jebol', 'mesin', 'motor', 'mobil']"
72,"['wkwkwk', 'cinta', 'etanol', 'sawitholic']"
73,"['tani', 'jagung', 'klo', 'dorong', 'manufaktur', 'dampak', 'luas', 'tahan', 'pangan', 'klo', 'ubah', 'manufaktur', 'ubah', 'tepung', 'minyak', 'pakan', 'ternak', 'etanol', 'jagung', 'rebus']"
74,"['bahlil', 'etanol', 'gulung', 'kabel']"
75,"['sebenernya', 'etanol', 'aman', 'aja', 'cuman', 'settingan', 'motor', 'standar', 'pabrik', 'rubah']"
76,"['lupa', 'ganti', 'kendara', 'mesin', 'minum', 'etanol']"
77,"['banyak', 'minum', 'etanol']"
78,"['tahu', 'etanol', 'bahan', 'bakar', 'grade', 'etanol', 'sesuai', 'fungsi', 'kenal', 'beda', 'yuk', 'bbm', 'pertalite', 'pertamax', 'banggaindonesiahijau', 'renewableenergy', 'energinegeriku', 'sukseskanbiofuels']"
79,"['pake', 'minyak', 'tanah', 'pake', 'pertamina', 'etanol']"
80,"['yyyaaa', 'kirim', 'etanol', 'bahlil', 'selamat', 'bangga']"
81,"['boss', 'anak', 'teknik', 'kimia', 'paham', 'jerami', 'lignoselulosa', 'susah', 'etanol', 'jerami', 'tebu', 'kalo', 'teliti', 'aja', 'kalo', 'sekala', 'industri', 'ekonomis']"
82,"['halah', 'goblin', 'etanol', 'culik', 'aja']"
83,"['inti', 'bang', 'etanol', 'kadar', 'rekomendasi']"
84,"['mah', 'harga', 'etanol', 'segitu', 'masuk', 'akal']"
85,"['etanol', 'rusak', 'mesin', 'kendara', 'standar', 'rancang', 'untuk', 'sifat', 'korosif', 'karet', 'selang', 'bahan', 'bakar', 'komponen', 'logam', 'sebab', 'bocor', 'rusa', 'jangka', 'mobil', 'flex', 'fuel', 'aman', 'sumber']"
86,"['etanol', 'rusak', 'mesin']"
87,"['sawit', 'lihat', 'donk', 'bbm', 'tumbuh', 'etanol', 'etanol', 'emang', 'ganti', 'posisi', 'bbm', 'etanol', 'mogok', 'coba', 'aja', 'mobil', 'bis', 'tanjak', 'pakek', 'bahan', 'bakar', 'etanol', 'sensasi', 'debar']"
88,"['maslahah', 'etanol', 'motor', 'mobil', 'full', 'etanol', 'bobibos', 'full', 'jerami', 'jerami', 'etanol', 'berani']"
89,"['komentar', 'benci', 'perintah', 'seluk', 'beluk', 'bobibos', 'beres', 'twitter', 'sdm', 'rendah', 'tik', 'tod', 'bacot', 'benci', 'gede', 'suruh', 'pakek', 'etanol', 'campur', 'shell', 'pertamina', 'vivo']"
90,"['silah', 'etanol', 'coba', 'beli', 'etanol', 'coba', 'ajja', 'kalok', 'berani', 'beli', 'bensin', 'spbu', 'pertamina', 'vivo', 'shell', 'bacot', 'bukti']"
91,"['kemarin', 'etanol', 'aja', 'mogok', 'massal', 'etanol', 'parah', 'etanol', 'serap', 'air']"
92,"['emang', 'warga', 'twitter', 'sdm', 'rendah', 'dinkasih', 'ilmu', 'etanol', 'efisien']"
93,"['rusak', 'hutan', 'gimana', 'tolooll', 'isi', 'etanol', 'bobibos', 'motor', 'langsung', 'bengkel']"
94,"['halah', 'oten', 'jilat', 'ludah', 'yahudi', 'benar', 'salah', 'etanol', 'bobibos', 'gila', 'kemaren', 'bahlil', 'tes', 'ombak', 'jawa', 'timur', 'aja', 'etanol', 'mogok', 'massal', 'marah', 'marah', 'orang', 'jawa', 'timur', 'nak', 'mogok', 'korosi', 'njir']"
95,"['etanol', 'bobibos', 'gila', 'kemaren', 'bahlil', 'tes', 'ombak', 'jawa', 'timur', 'aja', 'etanol', 'mogok', 'massal', 'marah', 'marah', 'orang', 'jawa', 'timur', 'nak', 'mogok', 'korosi', 'njir']"
96,"['duh', 'bego', 'tau', 'konteks', 'bobibos', 'produk', 'etanol', 'kemarin', 'jawa', 'timur', 'mogok', 'massal', 'aja', 'bahlil', 'tes', 'ombak', 'etanol', 'mogok', 'massal', 'blok', 'bobibos', 'etanol', 'rusak', 'mesin', 'sifat', 'etanol', 'serap', 'air', 'demo', 'besar']"
97,"['gila', 'produk', 'mahal', 'etanol', 'nyarap', 'air', 'rusak', 'komponen', 'mesin', 'jawa', 'timur', 'kemarin', 'aja', 'kasih', 'etanol', 'kaya', 'bahlil', 'tes', 'ombak', 'jawa', 'timur', 'mogok', 'massal', 'bayang', 'etanol', 'kabar', 'bobibos']"
98,"['bener', 'jerami', 'hasil', 'etanol', 'liter', 'energi', 'lemah', 'bbm', 'kaya', 'admin', 'bego', 'jarak', 'tempuh', 'pendek', 'contoh', 'pertalite', 'liter', 'bobibos', 'full', 'etanol', 'liter']"
99,"['aman', 'mane', 'kasih', 'motor', 'bio', 'etanol', 'mending', 'pake', 'etanol', 'swasta', 'minyak', 'mentah', 'pertamina', 'aja', 'kandung']"
100,"['jujur', 'etanol', 'bensin', 'bikin', 'mesin', 'panas', 'kering', 'krng', 'cocok', 'dipake', 'kontinyu', 'mesin', 'tua', 'sealnya', 'getas', 'oli', 'nguap', 'cepet', 'merek', 'yamahmud', 'yassalam', 'dah']"
101,"['kenapaa', 'lagi', 'etanol', 'wkwkw']"
102,"['wilayah', 'bensin', 'pertamax', 'masuk', 'tuh', 'pertalite', 'harga', 'normal', 'rekom', 'cepet', 'bakar', 'bahlil', 'etanol', 'dalam', 'mending', 'beli', 'pertamax', 'guis', 'jujur', 'pertalite', 'tuh', 'boros', 'beda', 'gpp']"
103,"['maaf', 'bahlil', 'cinta', 'etanol']"
104,"['kepala', 'daerah', 'pilih', 'rakyat', 'aja', 'pilih', 'rakyat', 'allah', 'bahlil', 'sedak', 'etanol', 'sampe', 'byebye', 'dunia', 'nungguin']"
105,"['gara', 'bensin', 'campur', 'etanol', 'huh']"
106,"['bain', 'perintah', 'etanol', 'persen', 'mesin', 'dah', 'batuk', 'apapagi', 'persen', 'kecuali', 'dibuatin', 'mesin', 'persen', 'pro', 'etanol']"
107,"['orang', 'brp', 'biaya', 'butuh', 'ubah', 'jerami', 'liter', 'etanol']"
108,"['aman', 'vario', 'gua', 'aja', 'kena', 'etanol', 'pertamina', 'udah', 'brebet', 'mulu']"
109,"['orang', 'indonesia', 'banyak', 'muka', 'etanol', 'tolak', 'gilir', 'etanol', 'terima', 'udah', 'kasih', 'kerja', 'kdm']"
110,"['atur', 'konsisten', 'hal', 'atur', 'polri', 'larang', 'jabat', 'minggu', 'jabat', 'sipil', 'bencana', 'kalibata', 'sumatra', 'tifa', 'rismon', 'banjir', 'longsor', 'sawit', 'etanol', 'gerindra', 'jokowi', 'gibran', 'lingkung', 'omonomon']"
111,"['pure', 'etanol', 'bahlil', 'etanol', 'indo']"
112,"['etanol', 'sawit', 'governancenya', 'bikin', 'harga', 'migor', 'lambung', 'sawit', 'olah', 'migor', 'etanol']"
113,"['wkwkwkwk', 'sebenernya', 'etanol', 'dah', 'bikin', 'tuh', 'biodiesel', 'sawit', 'beda', 'dipake', 'luas', 'aja', 'bobibos', 'cari', 'celah', 'aja', 'bisnis']"
114,"['abis', 'mabuk', 'etanol', 'bahlil']"
115,"['banyak', 'mandi', 'pake', 'etanol', 'nguap']"
116,"['papua', 'milik', 'sumber', 'daya', 'alam', 'dukung', 'produksi', 'bioenergi', 'kelola', 'komoditas', 'sawit', 'tebu', 'daerah', 'peluang', 'hasil', 'bahan', 'bakar', 'minyak', 'etanol', 'penuh', 'butuh', 'energi', 'domestik']"
117,"['papua', 'milik', 'sumber', 'daya', 'alam', 'dukung', 'produksi', 'bioenergi', 'kelola', 'komoditas', 'sawit', 'tebu', 'daerah', 'peluang', 'hasil', 'bahan', 'bakar', 'minyak', 'etanol', 'penuh', 'butuh', 'energi', 'domestik']"
118,"['gapapa', 'bau', 'etanol']"
